name,parent
Colombia,null
 Achicoria tostada y demás sucedáneos del café tostados y sus extractos- esencias y concentrados,Bogotá
 Achicoria tostada y demás sucedáneos del café tostados y sus extractos- esencias y concentrados,Tolima
 Café sin tostar- descafeinado,Antioquia
 Café sin tostar- descafeinado,Bogotá
 Café sin tostar- descafeinado,Caldas
 Café sin tostar- descafeinado,Cauca
 Café sin tostar- descafeinado,Huila
 Café sin tostar- descafeinado,Quindío
 Café sin tostar- descafeinado,Risaralda
 Café sin tostar- descafeinado,Santander
 Café sin tostar- descafeinado,Tolima
 Café sin tostar- descafeinado,Valle del Cauca
 Café sin tostar- sin descafeinar- para la siembra,Antioquia
 Café sin tostar- sin descafeinar- para la siembra,Bogotá
 Café sin tostar- sin descafeinar- para la siembra,Caldas
 Café sin tostar- sin descafeinar- para la siembra,Cauca
 Café sin tostar- sin descafeinar- para la siembra,Huila
 Café sin tostar- sin descafeinar- para la siembra,Quindío
 Café sin tostar- sin descafeinar- para la siembra,Risaralda
 Café sin tostar- sin descafeinar- para la siembra,Tolima
 Café sin tostar- sin descafeinar- para la siembra,Valle del Cauca
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Antioquia
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Bogotá
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Caldas
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Cauca
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Huila
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Quindío
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Tolima
 Café soluble liofilizado- con granulometría de 20 - 300 mm,Valle del Cauca
 Café tostado- descafeinado,Antioquia
 Café tostado- descafeinado,Bogotá
 Café tostado- descafeinado,Caldas
 Café tostado- descafeinado,Quindío
 Café tostado- descafeinado,Santander
 Café tostado- descafeinado,Tolima
 Café tostado- descafeinado,Valle del Cauca
 Café tostado- sin descafeinar- en grano,Antioquia
 Café tostado- sin descafeinar- en grano,Bogotá
 Café tostado- sin descafeinar- en grano,Caldas
 Café tostado- sin descafeinar- en grano,Cauca
 Café tostado- sin descafeinar- en grano,Huila
 Café tostado- sin descafeinar- en grano,Quindío
 Café tostado- sin descafeinar- en grano,Risaralda
 Café tostado- sin descafeinar- en grano,Santander
 Café tostado- sin descafeinar- en grano,Tolima
 Café tostado- sin descafeinar- en grano,Valle del Cauca
 Café tostado- sin descafeinar- molido,Antioquia
 Café tostado- sin descafeinar- molido,Bogotá
 Café tostado- sin descafeinar- molido,Caldas
 Café tostado- sin descafeinar- molido,Cauca
